Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Bucare	-66.924199245 10.4514390582,-66.9242686465 10.4515181526,-66.9242887631 10.4517410389,-66.9244349435 10.4517924741,-66.9246575668 10.4518175323,-66.9247326687 10.4518900692,-66.9247326687 10.4519480987,-66.9246776834 10.4519823889,-66.9246884122 10.4520219544,-66.924743142 10.4520192805	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Jabillo	-66.924199245 10.4514390582,-66.9243249729 10.4514231951,-66.9245811239 10.4514100066,-66.9246562257 10.451541892,-66.9246978 10.4514983698,-66.9247380331 10.451469355,-66.9250438049 10.4517080675,-66.924826546 10.4515537617,-66.9248209261 10.4515659501,-66.9249013924 10.4516358493,-66.9249671065 10.4517097051,-66.9250730537 10.4517954306,-66.9251521789 10.4519035765	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 2) Chalbaud Bloque 5	-66.9264575348 10.4441308219,-66.9264867201 10.4442960095,-66.9259663715 10.4443171116,-66.9260280623 10.4447312411,-66.9261462321 10.4447139733,-66.9269455304 10.4446849579	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 2) Chalbaud Bloque 6	-66.9264575348 10.4441308219,-66.9261435499 10.444218073,-66.927010258 10.4441558881	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 2) Chalbaud Bloque 7	-66.9264575348 10.4441308219,-66.9260039225 10.4441799476,-66.925934185 10.4436603064,-66.9261487618 10.4436392042,-66.9270338907 10.4436128265	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 2) Chalbaud Bloque 8	-66.9264575348 10.4441308219,-66.9259958758 10.4441825854,-66.9259690537 10.4431960578,-66.9262667789 10.4431116488,-66.9270768061 10.4430720822	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 2) Chalbaud  Bloque 4	-66.9261833535 10.445206836,-66.9259991843 10.4452739524,-66.9268440801 10.4452238349	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 2) Chalbaud  Bloque 3, 2 y1	-66.9261833535 10.445206836,-66.9257236135 10.4452521645,-66.9257249546 10.4453411889,-66.9253286582 10.4457645492,-66.9256558877 10.4457711436,-66.925674637 10.4458226061,-66.9266295034 10.4457909531,-66.9253715735 10.4458858859,-66.9259402018 10.445896437,-66.9258972865 10.4463052888,-66.9253849846 10.4463184776,-66.9253876406 10.4463712589,-66.9262244898 10.4463290549,-66.9253501159 10.4463211153,-66.9249236446 10.4463184776,-66.9249777822 10.4466248797,-66.9255517749 10.4466697215,-66.9255410461 10.4468438129,-66.9252084522 10.4469071188,-66.9249160914 10.4469123943,-66.9249546843 10.4469679279,-66.9259578304 10.4468703312	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 5 (OLT 2) Chalbaud Bloque 13	-66.9255310377 10.4441387623,-66.9255801013 10.4441858284,-66.9256337455 10.4442108872,-66.9256552031 10.4442715559,-66.9256484976 10.4443203546,-66.9256055823 10.4443638778	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 661 y 662	-66.9242080835 10.448350373,-66.9241133514 10.4483514977,-66.9242032054 10.4481220147,-66.9244365576 10.4481958714,-66.9245103184 10.4481233336,-66.9246350411 10.4477593257,-66.9246602459 10.4476618899,-66.9252677662 10.4478729091	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
