,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,12,SAN JOSE,,4212,GPS,10.51583811150873,-66.90889033457971,NAP BRISAVILA 1.24.4.1.4.2.12 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,13,SAN JOSE,,4213,GPS,10.515302659726474,-66.90870230043441,NAP BRISAVILA 1.24.4.1.4.2.13 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,14,SAN JOSE,,4214,GPS,10.514988887092473,-66.90875719956495,NAP BRISAVILA 1.24.4.1.4.2.14 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,15,SAN JOSE,,4215,GPS,10.516065096672182,-66.90952637582372,NAP BRISAVILA 1.24.4.1.4.2.15 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,16,SAN JOSE,,4216,GPS,10.51267970373715,-66.90840147932057,NAP BRISAVILA 1.24.4.1.4.2.16 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,CAJA EN PARTE POSTERIOR
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,1,LAS BRISAS A,LINK,531,GPS,10.514127434945777,-66.90865441289921,NAP BRISAVILA 1.24.4.1.5.3.1 LAS BRISAS A,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 3
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,2,LAS BRISAS A,,532,GPS,10.514127434945777,-66.90865441289921,NAP BRISAVILA 1.24.4.1.5.3.2 LAS BRISAS A,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 9
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,3,LAS BRISAS A,,533,GPS,10.514127434945777,-66.90865441289921,NAP BRISAVILA 1.24.4.1.5.3.3 LAS BRISAS A,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 15
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,4,LAS BRISAS A,,534,GPS,10.514127434945777,-66.90865441289921,NAP BRISAVILA 1.24.4.1.5.3.4 LAS BRISAS A,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 21
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,5,LAS BRISAS B,,535,GPS,10.514384598947755,-66.9087724314964,NAP BRISAVILA 1.24.4.1.5.3.5 LAS BRISAS B,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 3
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,6,LAS BRISAS B,,536,GPS,10.514384598947755,-66.9087724314964,NAP BRISAVILA 1.24.4.1.5.3.6 LAS BRISAS B,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 9
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,7,LAS BRISAS B,,537,GPS,10.514384598947755,-66.9087724314964,NAP BRISAVILA 1.24.4.1.5.3.7 LAS BRISAS B,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 15
,NAP,BRISAVILA,1,ADSS,24,4,1,5,3,8,LAS BRISAS B,,538,GPS,10.514384598947755,-66.9087724314964,NAP BRISAVILA 1.24.4.1.5.3.8 LAS BRISAS B,OLT 2 (16 PUERTOS),PON 1,ODF 1 PUERTO 5,PISO 21
